model,rmse,r2
Linear Regression,28539.499118647687,0.5463607086587496
Ridge Regression,27155.184755485763,0.5893011434940592
Random Forest,21840.547224827562,0.7343284797004201
XGBoost,17337.799860541876,0.8325805385843386
SVD + SVR,26753.065957109582,0.6013744877837952
Stacking (RF + XGB),17524.217868390533,0.828960957151473
